barril|tipo|recolhido|chopp
B1|E-30L|True|-
B2|E-30L|True|-
B3|E-30L|True|-
B4|E-30L|True|-
B5|E-30L|True|-
B6|E-30L|True|-
B7|E-30L|True|-
B8|E-30L|False|-
B9|E-30L|False|-
B10|E-30L|False|-
B11|E-30L|True|-
B12|E-30L|True|-
B13|E-30L|True|-
B14|E-30L|True|-
B15|E-30L|True|-
_1|S-15L|False|-
_2|S-15L|True|-
_3|S-15L|True|-
_4|S-15L|False|-
_5|S-15L|True|-
_6|S-15L|True|-
_7|S-15L|True|-
_8|S-15L|True|-
_9|S-15L|True|-
_10|S-15L|True|-
S1|S-30L|True|-
S2|S-30L|True|-
S3|S-30L|True|-
S4|S-30L|True|-
S5|S-30L|True|-
S6|S-30L|True|-
S7|S-30L|True|-
S8|S-30L|True|-
S9|S-30L|True|-
S10|S-30L|True|-
