produto|marca|estoque|unid|qtd|valor|custo|preço|preço2|codigo|entrada|saida|saldo|entrada2|saida2|saldo2|restante|acumulado|entradaY|saidaY|saldoY|entrada2Y|saida2Y|saldo2Y|acumuladoY
Chope-CreamAle|Kair\'os|30|L|0|10.64|10.64|22|20|Chope_CreamAle|0|30|-30|0|900|900|319.2|1219.2|60|30|30|638.4|900|261.6|580.8
Chope-DoubleIPA|Kair\'os|30|L|0|19.82|19.82|40|25|Chope_DoubleIPA|0|0|0|0|0|0|594.6|594.6|60|30|30|1189.2|1200|10.8|605.4
Chope-GermanPilsner|Dalla|0|L|0|7.9|7.9|30|15|Chope_GermanPilsner|0|15|-15|0|330|330|0|330|15|15|0|118.5|330|211.5|211.5
Chope-IPA|Dalla|0|L|45|8.9|8.9|30|16|Chope_IPA|90|75|15|801|1470|669|0|669|150|105|45|1335|1920|585|585
Chope-IrishRedAle|Kair\'os|0|L|0|10.8|10.8|30|15|Chope_IrishRedAle|0|0|0|0|0|0|0|0|30|30|0|324|900|576|576
Chope-Lager|Lassberg|0|L|0|6.5|6.5|22|12|Chope_Lager|0|110|-110|0|760|760|0|760|200|200|0|1300|2440|1140|1140
Chope-OatmealStout|Dalla|30|L|0|12|12|30|16|Chope_OatmealStout|0|0|0|0|0|0|360|360|30|0|30|360|0|-360|0
Chope-Pilsen|Dalla|300|L|30|5|5|22|12|Chope_Pilsen|345|105|240|450|2160|1710|1500|3210|600|300|300|1725|4500|2775|4275
Chope-WestCoastIPA|Kair\'os|40|L|0|14|14|30|20|Chope_WestCoastIPA|0|0|0|0|0|0|560|560|100|60|40|1400|1800|400|960
Chope-Witbier|Kair\'os|60|L|0|10.8|10.8|30|15|Chope_Witbier|0|0|0|0|0|0|648|648|120|60|60|1296|1800|504|1152
G600-CreamAle|Kair\'os|50|600mL|0|10.8|10.8|15|12|G600_CreamAle|0|2|-2|0|27|27|540|567|75|25|50|810|372|-438|102
G600-IPA|Kair\'os|1|600mL|0|10.8|10.8|15|12|G600_IPA|0|3|-3|0|45|45|10.8|55.8|20|19|1|216|285|69|79.8
G600-IrishRedAle|Kair\'os|1|600mL|0|10.8|10.8|15|12|G600_IrishRedAle|0|0|0|0|0|0|10.8|10.8|8|7|1|86.4|105|18.6|29.4
G600-Stout|Kair\'os|0|600mL|0|10.8|10.8|15|12|G600_Stout|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G600-Weiss|Kair\'os|236|600mL|0|10.8|10.8|15|12|G600_Weiss|0|1|-1|0|15|15|2548.8|2563.8|240|4|236|2592|60|-2532|16.8
G600-Witbier|Kair\'os|196|600mL|0|10.8|10.8|15|12|G600_Witbier|0|29|-29|0|355.2|355.2|2116.8|2472|240|44|196|2592|571.2|-2020.8|96
PET-IPA|Dalla|2|1,5L|0|15.4|15.4|22|18|PET_IPA|0|0|0|0|0|0|30.8|30.8|60|58|2|924|1240|316|346.8
PET-Pilsen|Dalla|16|1,5L|0|9.4|9.4|15|12|PET_Pilsen|0|20|-20|0|216.6|216.6|150.4|367|60|44|16|564|582.6|18.6|169
