MARCA|PRODUTO|UNIDADE|ENTRADA     (unid.)|SA\'IDA     (unid.)|SALDO     (unid.)|ENTRADA    (R$)|SA\'IDA            (R$)|SALDO        (R$)
Kair\'os|Chope-CreamAle|L|0|30|-30|0|900|900
Kair\'os|Chope-DoubleIPA|L|0|0|0|0|0|0
Dalla|Chope-GermanPilsner|L|0|15|-15|0|330|330
Dalla|Chope-IPA|L|90|75|15|801|1470|669
Kair\'os|Chope-IrishRedAle|L|0|0|0|0|0|0
Lassberg|Chope-Lager|L|0|110|-110|0|760|760
Dalla|Chope-OatmealStout|L|0|0|0|0|0|0
Dalla|Chope-Pilsen|L|345|105|240|450|2160|1710
Kair\'os|Chope-WestCoastIPA|L|0|0|0|0|0|0
Kair\'os|Chope-Witbier|L|0|0|0|0|0|0
Kair\'os|G600-CreamAle|600mL|0|2|-2|0|27|27
Kair\'os|G600-IPA|600mL|0|3|-3|0|45|45
Kair\'os|G600-IrishRedAle|600mL|0|0|0|0|0|0
Kair\'os|G600-Stout|600mL|0|0|0|0|0|0
Kair\'os|G600-Weiss|600mL|0|1|-1|0|15|15
Kair\'os|G600-Witbier|600mL|0|29|-29|0|355.2|355.2
Dalla|PET-IPA|1,5L|0|0|0|0|0|0
Dalla|PET-Pilsen|1,5L|0|20|-20|0|216.6|216.6
